name,year,lowermiddlequarter,suburb,incomeperstudent,fulltimenonteachers,state,schooltype,uppermiddlequarter,netrecurrentincome,topquarter,schoolsector,capitalexpenditure,icseavalue,fulltimeteachers,location,totalenrollments,bottomquarter,schoolheading,studentteacherratio,type,ratio,tophalf,midics,readingyear3,writingyear3,spellingyear3,grammaryear3,numeracyyear3,readingyear5,writingyear5,spellingyear5,grammaryear5,numeracyyear5,readingyear7,writingyear7,spellingyear7,grammaryear7,numeracyyear7,readingyear9,writingyear9,spellingyear9,grammaryear9,numeracyyear9,_merge,missy3,missy5,missy7,missy9,rawy3agg,rawy5agg,rawy7agg,rawy9agg,y3aggregate,y5aggregate,y7aggregate,y9aggregate,reporticsea,incomequartile,y3quartile,y3agg10,ics10,fitted
A B Paterson College,2014,14,Arundel,15001,68.5,QLD,Combined,35,21061892,49,Non-government,2536800,1115,100.3,Metropolitan,1405,3,"A B Paterson College, Arundel, QLD",,Combined,14.00797653,1,above,478,459,469,499,457,552,524,537,565,532,591,552,579,594,592,625,620,615,624,624,3,0,0,0,0,2362,2710,2908,3108,2362,2710,2908,3108,report ICSEA,3,4,23620,11150,"2,230.32959"
AIS International School,2014,,Carlingford,,,NSW,Combined,,,,Non-government,,,,Metropolitan,,,"AIS International School, Carlingford, NSW",,Combined,,1,above,,,,,,,,,,,,,,,,,,,,,3,5,5,5,5,,,,,,,,,no ICSEA,,,,,
ALESCO Learning Centre - Illawarra,2014,,Wollongong,16114,2.3,NSW,Special,,515657,,Non-government,0,,4.7,Metropolitan,45,,"ALESCO Learning Centre - Illawarra, Wollongong, NSW",,Special,9.574467659,1,above,,,,,,,,,,,,,,,,,,,,,3,5,5,5,5,,,,,,,,,no ICSEA,3,,,,
ALESCO Learning Centre Far West,2014,,Broken Hill,,0.5,NSW,Special,,,,Non-government,,,2.8,Provincial,27,,"ALESCO Learning Centre Far West, Broken Hill, NSW",,Special,9.642857552,1,above,,,,,,,,,,,,,,,,,,,,,3,5,5,5,5,,,,,,,,,no ICSEA,,,,,
ALESCO Senior College,2014,,Cooks Hill,16749,1.8,NSW,Special,,1088671,,Non-government,90146,,5.6,Metropolitan,65,,"ALESCO Senior College, Cooks Hill, NSW",,Special,11.60714245,1,above,,,,,,,,,,,,,,,,,,,,,3,5,5,5,5,,,,,,,,,no ICSEA,4 (highest income),,,,
Abbotsford Primary School,2014,15,Abbotsford,13215,2.7,VIC,Primary,20,1347890,29,Government,7737,1010,9.8,Metropolitan,128,36,"Abbotsford Primary School, Abbotsford, VIC",13.06122449,Primary,13.06122494,0,above,431,406,443,436,408,519,477,517,522,524,,,,,,,,,,,3,0,0,5,5,2124,2559,,,2124,2559,,,report ICSEA,3,4,21240,10100,"2,025.80957"
Abbotsford Public School,2014,11,Abbotsford,9391,4.3,NSW,Primary,28,4780236,57,Government,75560,1125,28.9,Metropolitan,561,4,"Abbotsford Public School, Abbotsford, NSW",,Primary,19.41176414,1,above,465,439,465,484,441,537,491,534,535,512,,,,,,,,,,,3,0,0,5,5,2294,2609,,,2294,2609,,,report ICSEA,1 (lowest income),4,22940,11250,"2,249.807617"
Abbotsleigh,2014,2,Wahroonga,26107,108.1,NSW,Combined,10,34775072,87,Non-government,7173525,1211,140.5,Metropolitan,1337,1,"Abbotsleigh, Wahroonga, NSW",,Combined,9.516014099,1,above,528,496,516,576,492,593,556,570,615,563,630,604,610,650,640,644,642,654,661,680,3,0,0,0,0,2608,2897,3134,3281,2608,2897,3134,3281,report ICSEA,4 (highest income),4,26080,12110,"2,417.319092"
Abercorn State School,2014,28,Abercorn,16505,2,QLD,Primary,46,511647,12,Government,3106,1020,2.3,Remote,27,14,"Abercorn State School, Abercorn, QLD",,Primary,11.73913002,1,above,,,,,,,,,,,,,,,,,,,,,3,5,5,5,5,,,,,,,,,report ICSEA,4 (highest income),,,10200,"2,045.28772"
Aberdeen Public School,2014,32,Aberdeen,10897,2.3,NSW,Primary,11,2135751,2,Government,64146,925,11.3,Provincial,202,55,"Aberdeen Public School, Aberdeen, NSW",,Primary,17.87610626,0,below,383,338,365,362,365,452,439,473,460,456,,,,,,,,,,,3,0,0,5,5,1813,2280,,,1813,2280,,,report ICSEA,2,4,18130,9250,"1,860.24585"
Aberfeldie Primary School,2014,21,Essendon,9037,3.5,VIC,Primary,30,2937011,40,Government,11296,1085,17.6,Metropolitan,305,8,"Aberfeldie Primary School, Essendon, VIC",,Primary,17.32954597,1,above,456,445,438,459,437,519,482,510,515,511,,,,,,,,,,,3,0,0,5,5,2235,2537,,,2235,2537,,,report ICSEA,1 (lowest income),4,22350,10850,"2,171.895264"
Aberfoyle Hub R-7 School,2014,29,Aberfoyle Park,10681,9,SA,Primary,33,3802510,22,Government,16756,1042,17.4,Metropolitan,352,15,"Aberfoyle Hub R-7 School, Aberfoyle Park, SA",,Primary,20.2298851,1,above,395,395,379,400,390,499,454,499,511,467,569,511,557,560,554,,,,,,3,0,0,0,5,1959,2430,2751,,1959,2430,2751,,report ICSEA,2,4,19590,10420,"2,088.139404"
Aberfoyle Park High School,2014,30,Aberfoyle Park,13034,19,SA,Secondary,33,12962748,22,Government,288507,1041,69.6,Metropolitan,992,15,"Aberfoyle Park High School, Aberfoyle Park, SA",,Secondary,14.25287342,1,above,,,,,,,,,,,,,,,,594,565,593,589,586,3,5,5,5,0,,,,2927,,,,2927,report ICSEA,3,,,10410,"2,086.19165"
Abergowrie State School,2014,40,Abergowrie,34407,2.1,QLD,Primary,43,378480,6,Government,1102,1018,1.3,Provincial,7,11,"Abergowrie State School, Abergowrie, QLD",,Primary,5.384615421,0,above,,,,,,,,,,,,,,,,,,,,,3,5,5,5,5,,,,,,,,,report ICSEA,4 (highest income),,,10180,"2,041.39209"
Abermain Public School,2014,23,Abermain,11144,2.4,NSW,Primary,8,2440570,2,Government,49205,904,12.6,Metropolitan,199,67,"Abermain Public School, Abermain, NSW",,Primary,15.79365063,0,below,407,402,408,405,403,457,428,454,455,436,,,,,,,,,,,3,0,0,5,5,2025,2230,,,2025,2230,,,report ICSEA,2,4,20250,9040,"1,819.341919"
Aboriginal and Islander Independent Community School,2014,,Acacia Ridge,16607,18.2,QLD,Combined,,3171937,,Non-government,120801,,18.8,Metropolitan,209,,"Aboriginal and Islander Independent Community School, Acacia Ridge, QLD",,Combined,11.11702156,1,above,,,,,,391,363,440,408,377,,,,,,485,407,524,488,494,3,5,0,5,0,,1979,,2398,,1979,,2398,no ICSEA,4 (highest income),,,,
Acacia College,2014,,Mernda,,,VIC,Combined,,,,Non-government,,,,Metropolitan,,,"Acacia College, Mernda, VIC",,Combined,,1,above,,,,,,,,,,,,,,,,,,,,,3,5,5,5,5,,,,,,,,,no ICSEA,,,,,
Acacia Hill School,2014,,Alice Springs,61153,17.2,NT,Special,,3112696,,Government,1300809,,14,Remote,55,,"Acacia Hill School, Alice Springs, NT",,Special,3.928571463,1,above,,,,,,,,,,,,,,,,,,,,,3,5,5,5,5,,,,,,,,,no ICSEA,4 (highest income),,,,
Acacia Ridge State School,2014,24,Acacia Ridge,23175,13.6,QLD,Primary,15,5474020,6,Government,223387,921,27.1,Metropolitan,240,54,"Acacia Ridge State School, Acacia Ridge, QLD",,Primary,8.856088638,0,below,371,390,371,380,361,431,428,454,436,430,491,507,529,505,519,,,,,,3,0,0,0,5,1873,2179,2551,,1873,2179,2551,,report ICSEA,4 (highest income),4,18730,9210,"1,852.45459"
Academy of Mary Immaculate,2014,19,Fitzroy,11521,23.1,VIC,Secondary,32,7419701,33,Non-government,1849561,1059,48.6,Metropolitan,623,16,"Academy of Mary Immaculate, Fitzroy, VIC",,Secondary,12.81892967,1,above,,,,,,,,,,,579,550,568,577,554,597,585,590,610,587,3,5,5,0,0,,,2828,2969,,,2828,2969,report ICSEA,2,,,10590,"2,121.252197"
Adam Road Primary School,2014,31,South Bunbury,11316,15.7,WA,Primary,24,6034104,10,Government,311340,981,31.4,Provincial,576,34,"Adam Road Primary School, South Bunbury, WA",,Primary,18.34394836,0,below,388,391,387,389,379,473,444,459,476,468,553,528,573,547,548,,,,,,3,0,0,0,5,1934,2320,2749,,1934,2320,2749,,report ICSEA,2,4,19340,9810,"1,969.32312"
Adaminaby Public School,2014,37,Adaminaby,27211,0.7,NSW,Primary,36,489793,2,Government,22928,994,1.8,Provincial,18,26,"Adaminaby Public School, Adaminaby, NSW",,Primary,10,0,below,,,,,,,,,,,,,,,,,,,,,3,5,5,5,5,,,,,,,,,report ICSEA,4 (highest income),,,9940,"1,994.644653"
Adamstown Public School,2014,27,Adamstown,11358,2.4,NSW,Primary,28,2430629,23,Government,41879,1028,12.7,Metropolitan,226,23,"Adamstown Public School, Adamstown, NSW",,Primary,17.79527473,1,above,415,400,421,436,393,496,454,490,504,493,,,,,,,,,,,3,0,0,5,5,2065,2437,,,2065,2437,,,report ICSEA,2,4,20650,10280,"2,060.870117"
Adass Israel School,2014,29,Elsternwick,12888,30.6,VIC,Combined,9,6547136,4,Non-government,1355804,947,30.7,Metropolitan,503,58,"Adass Israel School, Elsternwick, VIC",,Combined,16.38436508,0,below,413,429,414,435,439,516,473,497,521,515,547,519,539,564,595,593,558,567,594,597,3,0,0,0,0,2130,2522,2764,2909,2130,2522,2764,2909,report ICSEA,3,4,21300,9470,"1,903.097656"
Adelaide East Education Centre,2014,,Kensington,48886,10.6,SA,Special,,2111859,,Government,4132171,,12.2,Metropolitan,56,,"Adelaide East Education Centre, Kensington, SA",,Special,4.590163708,1,above,,,,,,,,,,,,,,,,,,,,,3,5,5,5,5,,,,,,,,,no ICSEA,4 (highest income),,,,
Adelaide High School,2014,19,Adelaide,14223,23.3,SA,Secondary,32,17825103,38,Government,7471815,1074,93.8,Metropolitan,1251,11,"Adelaide High School, Adelaide, SA",,Secondary,13.33688736,1,above,,,,,,,,,,,,,,,,609,594,615,613,613,3,5,5,5,0,,,,3044,,,,3044,report ICSEA,3,,,10740,"2,150.469238"
Adelaide North Special School,2014,,Elizabeth,39630,35.1,SA,Special,,5667089,,Government,8605683,,28.8,Metropolitan,161,,"Adelaide North Special School, Elizabeth, SA",,Special,5.590277672,1,above,,,,,,,,,,,,,,,,,,,,,3,5,5,5,5,,,,,,,,,no ICSEA,4 (highest income),,,,
Adelaide River School,2014,25,Adelaide River,18029,2.3,NT,Combined,28,631017,13,Government,50,928,2,Remote,36,34,"Adelaide River School, Adelaide River, NT",,Combined,18,0,below,387,384,385,381,360,,,,,,,,,,,,,,,,3,0,5,5,5,1897,,,,1897,,,,report ICSEA,4 (highest income),4,18970,9280,"1,866.089233"
Adelaide Secondary School of English,2014,23,West Croydon,25619,15.6,SA,Secondary,24,9709481,19,Government,0,1005,69.3,Metropolitan,510,33,"Adelaide Secondary School of English, West Croydon, SA",,Secondary,7.359307289,0,below,,,,,,,,,,,,,,,,,,,,,3,5,5,5,5,,,,,,,,,report ICSEA,4 (highest income),,,10050,"2,016.070557"
Adelaide West Special Education Centre,2014,,Taperoo,57638,26.1,SA,Special,,4126875,,Government,0,,13.1,Metropolitan,68,,"Adelaide West Special Education Centre, Taperoo, SA",,Special,5.190839767,1,above,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,,,,,,,,,no ICSEA,4 (highest income),,,,
Adelong Public School,2014,28,Adelong,11663,1.5,NSW,Primary,19,933030,9,Government,17991,957,4.7,Provincial,81,44,"Adelong Public School, Adelong, NSW",,Primary,17.23404312,0,below,424,392,412,470,427,454,404,502,456,447,,,,,,,,,,,3,0,0,5,5,2125,2263,,,2125,2263,,,report ICSEA,2,4,21250,9570,"1,922.575684"
Adventist Primary School - Toronto,2014,32,Toronto,14057,0.4,NSW,Primary,27,351416,18,Non-government,1961,1024,2.4,Metropolitan,26,23,"Adventist Primary School - Toronto, Toronto, NSW",,Primary,10.83333302,0,above,,,,,,,,,,,,,,,,,,,,,3,5,5,5,5,,,,,,,,,report ICSEA,3,,,10240,"2,053.078857"
Aetaomah School,2014,14,Terragon,11357,1.1,NSW,Combined,32,670074,38,Non-government,132,1066,5,Provincial,64,16,"Aetaomah School, Terragon, NSW",,Combined,12.80000019,1,above,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,,,,,,,,,report ICSEA,2,,,10660,"2,134.886963"
Afterlee Public School,2014,34,Afterlee,29859,1,NSW,Primary,5,328449,2,Government,4599,914,1.3,Provincial,14,60,"Afterlee Public School, Afterlee, NSW",,Primary,10.76923084,0,below,,,,,,,,,,,,,,,,,,,,,3,5,5,5,5,,,,,,,,,report ICSEA,4 (highest income),,,9140,"1,838.819946"
Agnes Water State School,2014,31,Agnes Water,9662,7.4,QLD,Primary,26,2976048,12,Government,2078669,990,18,Provincial,286,31,"Agnes Water State School, Agnes Water, QLD",,Primary,15.88888931,0,below,387,374,371,408,374,510,451,487,510,490,537,458,526,535,555,,,,,,3,0,0,0,5,1914,2448,2611,,1914,2448,2611,,report ICSEA,1 (lowest income),4,19140,9900,"1,986.853394"
Agnew School,2014,49,Wakerley,18391,17,QLD,Combined,33,6436977,7,Non-government,388458,1020,37,Metropolitan,355,11,"Agnew School, Wakerley, QLD",,Combined,9.594594955,0,above,453,398,425,446,434,549,469,524,553,516,553,515,549,561,567,604,571,606,581,625,3,0,0,0,0,2156,2611,2745,2987,2156,2611,2745,2987,report ICSEA,4 (highest income),4,21560,10200,"2,045.28772"
Aim Senior Secondary Music College,2014,,Surry Hills,17599,4.2,NSW,Secondary,,1003160,,Non-government,139663,,7.3,Metropolitan,65,,"Aim Senior Secondary Music College, Surry Hills, NSW",,Secondary,8.904109955,1,above,,,,,,,,,,,,,,,,,,,,,3,5,5,5,5,,,,,,,,,no ICSEA,4 (highest income),,,,
Ainslie Parklands Primary School,2014,25,Croydon,9058,3,VIC,Primary,24,1440230,26,Government,9106,1025,11.1,Metropolitan,160,25,"Ainslie Parklands Primary School, Croydon, VIC",,Primary,14.41441441,0,above,431,430,383,417,400,497,470,496,512,498,,,,,,,,,,,3,0,0,5,5,2061,2473,,,2061,2473,,,report ICSEA,1 (lowest income),4,20610,10250,"2,055.026611"
Ainslie School,2014,6,Braddon,11792,4.5,ACT,Primary,18,4386450,71,Government,97685,1155,22.7,Metropolitan,362,4,"Ainslie School, Braddon, ACT",,Primary,15.94713688,1,above,461,386,399,433,418,548,493,501,549,516,,,,,,,,,,,3,0,0,5,5,2097,2607,,,2097,2607,,,report ICSEA,2,4,20970,11550,"2,308.241699"
Airdale Primary School,2014,16,Port Pirie,15816,6.5,SA,Primary,2,1787205,0,Government,1440,785,13.9,Provincial,112,82,"Airdale Primary School, Port Pirie, SA",,Primary,8.057554245,0,below,326,309,317,344,312,417,364,430,403,387,469,415,478,459,464,,,,,,3,0,0,0,5,1608,2001,2285,,1608,2001,2285,,report ICSEA,3,4,16080,7850,"1,587.552612"
Airds High School,2014,20,Campbelltown,19183,13.8,NSW,Secondary,8,8068342,1,Government,841032,865,47.1,Metropolitan,425,71,"Airds High School, Campbelltown, NSW",,Secondary,9.02335453,0,below,,,,,,,,,,,495,466,511,493,480,506,463,525,515,513,3,5,5,0,0,,,2445,2522,,,2445,2522,report ICSEA,4 (highest income),,,8650,"1,743.377319"
Airly Primary School,2014,31,Airly,26073,1.2,VIC,Primary,3,338946,0,Government,452,938,2,Provincial,7,66,"Airly Primary School, Airly, VIC",,Primary,3.5,0,below,,,,,,,,,,,,,,,,,,,,,3,5,5,5,5,,,,,,,,,report ICSEA,4 (highest income),,,9380,"1,885.567383"
Airville State School,2014,43,Ayr,20059,2.9,QLD,Primary,23,681989,6,Government,9542,973,2.7,Provincial,32,28,"Airville State School, Ayr, QLD",,Primary,11.85185146,0,below,,,,,,,,,,,,,,,,,,,,,3,5,5,5,5,,,,,,,,,report ICSEA,4 (highest income),,,9730,"1,953.740723"
Aitken College,2014,27,Greenvale,13336,27.3,VIC,Combined,37,16843062,28,Non-government,569700,1064,98.7,Metropolitan,1271,9,"Aitken College, Greenvale, VIC",,Combined,12.87740612,1,above,418,407,416,404,405,506,477,522,520,500,558,523,562,558,553,599,575,594,597,592,3,0,0,0,0,2050,2525,2754,2957,2050,2525,2754,2957,report ICSEA,3,4,20500,10640,"2,130.991211"
Aitken Creek Primary School,2014,30,Craigieburn,8392,6.6,VIC,Primary,26,2912002,14,Government,86127,997,30,Provincial,505,31,"Aitken Creek Primary School, Craigieburn, VIC",,Primary,16.83333397,0,below,403,410,413,414,389,459,471,478,476,469,,,,,,,,,,,3,0,0,5,5,2029,2353,,,2029,2353,,,report ICSEA,1 (lowest income),4,20290,9970,"2,000.488037"
Aitkenvale State School,2014,27,Aitkenvale,11291,14.7,QLD,Primary,13,5245760,5,Government,122694,909,31,Metropolitan,471,55,"Aitkenvale State School, Aitkenvale, QLD",,Primary,15.1935482,0,below,374,350,365,383,362,462,414,454,455,439,483,439,486,489,478,,,,,,3,0,0,0,5,1834,2224,2375,,1834,2224,2375,,report ICSEA,2,4,18340,9090,"1,829.080933"
Ajuga School,2014,,Glenfield,54116,8.9,NSW,Special,,2110509,,Government,27099,,10.8,Metropolitan,43,,"Ajuga School, Glenfield, NSW",,Special,3.981481552,1,above,,,,,,,,,,,,,,,,,,,,,3,5,5,5,5,,,,,,,,,no ICSEA,4 (highest income),,,,
Al Amanah College,2014,29,Bankstown,12723,16.6,NSW,Primary,27,10280057,22,Non-government,1284381,1024,55.8,Metropolitan,786,22,"Al Amanah College, Bankstown, NSW",,Primary,14.08602142,0,above,445,454,451,528,446,497,503,513,565,504,538,530,555,525,529,565,508,593,569,567,3,0,0,0,0,2324,2582,2677,2802,2324,2582,2677,2802,report ICSEA,3,4,23240,10240,"2,053.078857"
Al Faisal College,2014,27,Auburn,11971,20.6,NSW,Combined,28,25163277,24,Non-government,12502149,1036,115.8,Metropolitan,1805,20,"Al Faisal College, Auburn, NSW",,Combined,15.58721924,1,above,425,454,474,487,420,492,504,543,547,520,567,550,596,589,610,607,595,633,608,637,3,0,0,0,0,2260,2606,2912,3080,2260,2606,2912,3080,report ICSEA,2,4,22600,10360,"2,076.452637"
Al Hikma College,2014,22,Lakemba,11125,5.3,NSW,Primary,32,1234910,20,Non-government,215248,1023,10,Metropolitan,224,26,"Al Hikma College, Lakemba, NSW",,Primary,22.39999962,1,above,411,441,450,446,401,,,,,,,,,,,,,,,,3,0,5,5,5,2149,,,,2149,,,,report ICSEA,2,4,21490,10230,"2,051.131104"
Al Noori Muslim School,2014,21,Greenacre,10840,15.9,NSW,Primary,36,13864707,31,Non-government,3079874,1024,81.1,Metropolitan,1437,13,"Al Noori Muslim School, Greenacre, NSW",,Primary,17.71886635,1,above,440,474,482,507,431,510,526,543,571,518,558,548,590,579,584,619,614,643,630,640,3,0,0,0,0,2334,2668,2859,3146,2334,2668,2859,3146,report ICSEA,2,4,23340,10240,"2,053.078857"
